"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","GT-FluFNP"
"5","ISU_NiemiLab-Flu"
"6","JHU_IDD-CovidSP"
"7","LosAlamos_NAU-CModel_Flu"
"8","LUcompUncertLab-hier_mech_model"
"9","LUcompUncertLab-humanjudgment"
"10","MIGHTE-Nsemble"
"11","MOBS-GLEAM_FLUH"
"12","NIH-Flu_ARIMA"
"13","PSI-DICE"
"14","SGroup-RandomForest"
"15","SigSci-CREG"
"16","SigSci-TSENS"
"17","UGA_flucast-OKeeffe"
"18","UGuelph-FluPLUG"
"19","UMass-gbq"
"20","UMass-trends_ensemble"
"21","UNC_IDD-InfluPaint"
"22","UVAFluX-Ensemble"
"23","VTSanghani-ExogModel"
