"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","CU-ensemble"
"5","GT-FluFNP"
"6","ISU_NiemiLab-Flu"
"7","JHU_IDD-CovidSP"
"8","LosAlamos_NAU-CModel_Flu"
"9","LUcompUncertLab-ensemble_rclp"
"10","LUcompUncertLab-humanjudgment"
"11","LUcompUncertLab-KalmanFilter"
"12","MIGHTE-Nsemble"
"13","MOBS-GLEAM_FLUH"
"14","NIH-Flu_ARIMA"
"15","PSI-DICE"
"16","SGroup-RandomForest"
"17","SigSci-CREG"
"18","SigSci-TSENS"
"19","UGA_flucast-OKeeffe"
"20","UGuelph-FluPLUG"
"21","UMass-gbq"
"22","UMass-trends_ensemble"
"23","UNC_IDD-InfluPaint"
"24","UVAFluX-Ensemble"
"25","VTSanghani-ExogModel"
