"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","GT-FluFNP"
"6","ISU_NiemiLab-Flu"
"7","LosAlamos_NAU-CModel_Flu"
"8","LUcompUncertLab-humanjudgment"
"9","LUcompUncertLab-KalmanFilter"
"10","MIGHTE-Nsemble"
"11","MOBS-GLEAM_FLUH"
"12","NIH-Flu_ARIMA"
"13","PSI-DICE"
"14","SigSci-CREG"
"15","SigSci-TSENS"
"16","UGuelph-FluPLUG"
"17","UMass-gbq"
"18","UMass-trends_ensemble"
"19","UNC_IDD-InfluPaint"
"20","UVAFluX-Ensemble"
"21","VTSanghani-ExogModel"
