"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","GT-FluFNP"
"5","JHU_IDD-CovidSP"
"6","LUcompUncertLab-ensemble_rclp"
"7","LUcompUncertLab-KalmanFilter"
"8","MIGHTE-Nsemble"
"9","MOBS-GLEAM_FLUH"
"10","NIH-Flu_ARIMA"
"11","PSI-DICE"
"12","SGroup-RandomForest"
"13","SigSci-CREG"
"14","SigSci-TSENS"
"15","UGA_flucast-OKeeffe"
"16","UGuelph-FluPLUG"
"17","UMass-trends_ensemble"
"18","UVAFluX-Ensemble"
"19","VTSanghani-ExogModel"
"20","VTSanghani-Transformer"
