"","Model","Designated_Model"
"1","CADPH-FluCAT_Ensemble","TRUE"
"2","CEPH-Rtrend_fluH","TRUE"
"3","cfa-flumech","TRUE"
"4","cfarenewal-cfaepimlight","TRUE"
"5","CMU-TimeSeries","TRUE"
"6","CU-ensemble","TRUE"
"7","fjordhest-ensemble","TRUE"
"8","Gatech-ensemble_point","TRUE"
"9","Gatech-ensemble_prob","TRUE"
"10","GT-FluFNP","TRUE"
"11","ISU_NiemiLab-GPE","TRUE"
"12","ISU_NiemiLab-NLH","TRUE"
"13","JHU_CSSE-CSSE_Ensemble","TRUE"
"14","JHUAPL-DMD","TRUE"
"15","LosAlamos_NAU-CModel_Flu","TRUE"
"16","LUcompUncertLab-chimera","TRUE"
"17","MDPredict-SIRS","TRUE"
"18","MIGHTE-Nsemble","TRUE"
"19","MOBS-GLEAM_FLUH","TRUE"
"20","NEU_ISI-AdaptiveEnsemble","TRUE"
"21","NIH-Flu_ARIMA","TRUE"
"22","NU_UCSD-GLEAM_AI_FLUH","TRUE"
"23","OHT_JHU-nbxd","TRUE"
"24","PSI-PROF","TRUE"
"25","SGroup-RandomForest","TRUE"
"26","SigSci-BECAM","TRUE"
"27","SigSci-CREG","TRUE"
"28","SigSci-TSENS","TRUE"
"29","Stevens-GBR","TRUE"
"30","Stevens-ILIForecast","TRUE"
"31","UGA_flucast-Copycat","TRUE"
"32","UGA_flucast-INFLAenza","TRUE"
"33","UGuelph-CompositeCurve","TRUE"
"34","UGuelphensemble-GRYPHON","TRUE"
"35","UM-DeepOutbreak","TRUE"
"36","UMass-flusion","TRUE"
"37","UMass-trends_ensemble","TRUE"
"38","UNC_IDD-InfluPaint","TRUE"
"39","UVAFluX-Ensemble","TRUE"
"40","VTSanghani-Ensemble","TRUE"
"41","VTSanghani-PRIME","TRUE"
