"","Model","Designated_Model"
"1","CADPH-FluCAT_Ensemble","TRUE"
"2","CEPH-Rtrend_fluH","TRUE"
"3","cfa-flumech","TRUE"
"4","CFA_Pyrenew-Pyrenew_HE_Flu","TRUE"
"5","cfarenewal-cfaepimlight","TRUE"
"6","CMU-TimeSeries","TRUE"
"7","CU-ensemble","TRUE"
"8","fjordhest-ensemble","TRUE"
"9","Gatech-ensemble_point","TRUE"
"10","Gatech-ensemble_prob","TRUE"
"11","GT-FluFNP","TRUE"
"12","ISU_NiemiLab-GPE","TRUE"
"13","ISU_NiemiLab-NLH","TRUE"
"14","JHU_CSSE-CSSE_Ensemble","TRUE"
"15","JHUAPL-DMD","TRUE"
"16","JHUAPL-Morris","TRUE"
"17","LosAlamos_NAU-CModel_Flu","TRUE"
"18","LUcompUncertLab-chimera","TRUE"
"19","MDPredict-SIRS","TRUE"
"20","Metaculus-cp","TRUE"
"21","MIGHTE-Joint","TRUE"
"22","MIGHTE-Nsemble","TRUE"
"23","MOBS-GLEAM_FLUH","TRUE"
"24","NEU_ISI-AdaptiveEnsemble","TRUE"
"25","NEU_ISI-FluBcast","TRUE"
"26","NIH-Flu_ARIMA","TRUE"
"27","NU_UCSD-GLEAM_AI_FLUH","TRUE"
"28","OHT_JHU-nbxd","TRUE"
"29","PSI-PROF","TRUE"
"30","PSI-PROF_beta","TRUE"
"31","SGroup-RandomForest","TRUE"
"32","SigSci-BECAM","TRUE"
"33","SigSci-CREG","TRUE"
"34","SigSci-TSENS","TRUE"
"35","Stevens-GBR","TRUE"
"36","Stevens-ILIForecast","TRUE"
"37","UGA_CEID-Walk","TRUE"
"38","UGA_flucast-Copycat","TRUE"
"39","UGA_flucast-INFLAenza","TRUE"
"40","UGuelph-CompositeCurve","TRUE"
"41","UGuelphensemble-GRYPHON","TRUE"
"42","UI_CompEpi-EpiGen","TRUE"
"43","UM-DeepOutbreak","TRUE"
"44","UMass-flusion","TRUE"
"45","UNC_IDD-InfluPaint","TRUE"
"46","UVAFluX-CESGCN","TRUE"
"47","UVAFluX-Ensemble","TRUE"
"48","VTSanghani-Ensemble","TRUE"
"49","VTSanghani-PRIME","TRUE"
