"Model","Designated_Model"
"CADPH-FluCAT_Ensemble",TRUE
"CEPH-Rtrend_fluH",TRUE
"CFA_Pyrenew-Pyrenew_HE_Flu",TRUE
"cfa-flumech",TRUE
"cfarenewal-cfaepimlight",TRUE
"CMU-TimeSeries",TRUE
"CU-ensemble",TRUE
"fjordhest-ensemble",TRUE
"Gatech-ensemble_point",TRUE
"Gatech-ensemble_prob",TRUE
"Google_SAI-FluBoostQR",TRUE
"GT-FluFNP",TRUE
"ISU_NiemiLab-GPE",TRUE
"ISU_NiemiLab-NLH",TRUE
"JHU_CSSE-CSSE_Ensemble",TRUE
"JHUAPL-DMD",TRUE
"JHUAPL-Morris",TRUE
"LosAlamos_NAU-CModel_Flu",TRUE
"LUcompUncertLab-chimera",TRUE
"MDPredict-SIRS",TRUE
"Metaculus-cp",TRUE
"MIGHTE-Joint",TRUE
"MIGHTE-Nsemble",TRUE
"MOBS-GLEAM_FLUH",TRUE
"NEU_ISI-AdaptiveEnsemble",TRUE
"NEU_ISI-FluBcast",TRUE
"NIH-Flu_ARIMA",TRUE
"NU_UCSD-GLEAM_AI_FLUH",TRUE
"OHT_JHU-nbxd",TRUE
"PSI-PROF_beta",TRUE
"PSI-PROF",TRUE
"SGroup-RandomForest",TRUE
"SigSci-BECAM",TRUE
"SigSci-CREG",TRUE
"SigSci-TSENS",TRUE
"Stevens-GBR",TRUE
"Stevens-ILIForecast",TRUE
"UGA_CEID-Walk",TRUE
"UGA_flucast-Copycat",TRUE
"UGA_flucast-INFLAenza",TRUE
"UGuelph-CompositeCurve",TRUE
"UGuelphensemble-GRYPHON",TRUE
"UI_CompEpi-EpiGen",TRUE
"UM-DeepOutbreak",TRUE
"UMass-flusion",TRUE
"UNC_IDD-InfluPaint",TRUE
"UVAFluX-CESGCN",TRUE
"UVAFluX-Ensemble",TRUE
"VTSanghani-Ensemble",TRUE
"VTSanghani-PRIME",TRUE
