"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","CU-ensemble"
"5","JHU_IDD-CovidSP"
"6","LosAlamos_NAU-CModel_Flu"
"7","MIGHTE-Nsemble"
"8","MOBS-GLEAM_FLUH"
"9","NIH-Flu_ARIMA"
"10","PSI-DICE"
"11","SGroup-RandomForest"
"12","SigSci-CREG"
"13","SigSci-TSENS"
"14","UGA_flucast-OKeeffe"
"15","UMass-trends_ensemble"
"16","UNC_IDD-InfluPaint"
"17","UVAFluX-Ensemble"
"18","VTSanghani-ExogModel"
