"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","CU-ensemble"
"5","GT-FluFNP"
"6","ISU_NiemiLab-Flu"
"7","JHU_IDD-CovidSP"
"8","LosAlamos_NAU-CModel_Flu"
"9","LUcompUncertLab-humanjudgment"
"10","MIGHTE-Nsemble"
"11","MOBS-GLEAM_FLUH"
"12","NIH-Flu_ARIMA"
"13","PSI-DICE"
"14","SGroup-RandomForest"
"15","SigSci-CREG"
"16","SigSci-TSENS"
"17","UGA_flucast-OKeeffe"
"18","UGuelph-FluPLUG"
"19","UMass-trends_ensemble"
"20","UNC_IDD-InfluPaint"
"21","UVAFluX-Ensemble"
"22","VTSanghani-ExogModel"
