"","Model","Designated_Model"
"1","CADPH-FluCAT_Ensemble","TRUE"
"2","CEPH-Rtrend_fluH","TRUE"
"3","cfa-flumech","TRUE"
"4","cfarenewal-cfaepimlight","TRUE"
"5","CMU-TimeSeries","TRUE"
"6","CU-ensemble","TRUE"
"7","fjordhest-ensemble","TRUE"
"8","GT-FluFNP","TRUE"
"9","ISU_NiemiLab-NLH","TRUE"
"10","LosAlamos_NAU-CModel_Flu","TRUE"
"11","LUcompUncertLab-chimera","TRUE"
"12","MIGHTE-Nsemble","TRUE"
"13","MOBS-GLEAM_FLUH","TRUE"
"14","NIH-Flu_ARIMA","TRUE"
"15","NU_UCSD-GLEAM_AI_FLUH","TRUE"
"16","PSI-PROF","TRUE"
"17","SGroup-RandomForest","TRUE"
"18","SigSci-CREG","TRUE"
"19","SigSci-TSENS","TRUE"
"20","Stevens-GBR","TRUE"
"21","UGA_flucast-Copycat","TRUE"
"22","UGA_flucast-INFLAenza","TRUE"
"23","UGuelph-CompositeCurve","TRUE"
"24","UGuelphensemble-GRYPHON","TRUE"
"25","UM-DeepOutbreak","TRUE"
"26","UMass-flusion","TRUE"
"27","UMass-trends_ensemble","TRUE"
"28","UNC_IDD-InfluPaint","TRUE"
"29","UVAFluX-Ensemble","TRUE"
"30","VTSanghani-Ensemble","TRUE"
