"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEID-Walk"
"3","CEPH-Rtrend_fluH"
"4","CMU-TimeSeries"
"5","CU-ensemble"
"6","GT-FluFNP"
"7","ISU_NiemiLab-Flu"
"8","JHU_IDD-CovidSP"
"9","LosAlamos_NAU-CModel_Flu"
"10","MIGHTE-Nsemble"
"11","MOBS-GLEAM_FLUH"
"12","NIH-Flu_ARIMA"
"13","PSI-DICE"
"14","SGroup-RandomForest"
"15","SigSci-CREG"
"16","SigSci-TSENS"
"17","UGA_flucast-OKeeffe"
"18","UMass-trends_ensemble"
"19","UNC_IDD-InfluPaint"
"20","UVAFluX-Ensemble"
"21","VTSanghani-ExogModel"
