"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","CU-ensemble"
"5","GT-FluFNP"
"6","JHU_IDD-CovidSP"
"7","LosAlamos_NAU-CModel_Flu"
"8","MIGHTE-Nsemble"
"9","MOBS-GLEAM_FLUH"
"10","PSI-DICE"
"11","SGroup-RandomForest"
"12","SigSci-CREG"
"13","SigSci-TSENS"
"14","UGA_flucast-OKeeffe"
"15","UMass-trends_ensemble"
"16","UNC_IDD-InfluPaint"
"17","VTSanghani-ExogModel"
