"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","CU-ensemble"
"5","GT-FluFNP"
"6","MIGHTE-Nsemble"
"7","MOBS-GLEAM_FLUH"
"8","NIH-Flu_ARIMA"
"9","PSI-DICE"
"10","SGroup-RandomForest"
"11","SigSci-CREG"
"12","SigSci-TSENS"
"13","UGA_flucast-OKeeffe"
"14","UMass-trends_ensemble"
"15","UNC_IDD-InfluPaint"
"16","UVAFluX-Ensemble"
