"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CEPH-Rtrend_fluH"
"3","CMU-TimeSeries"
"4","CU-ensemble"
"5","GT-FluFNP"
"6","JHU_IDD-CovidSP"
"7","LosAlamos_NAU-CModel_Flu"
"8","MIGHTE-Nsemble"
"9","MOBS-GLEAM_FLUH"
"10","NIH-Flu_ARIMA"
"11","PSI-DICE"
"12","SGroup-RandomForest"
"13","SigSci-CREG"
"14","SigSci-TSENS"
"15","UGA_flucast-OKeeffe"
"16","UMass-trends_ensemble"
"17","UNC_IDD-InfluPaint"
"18","UVAFluX-Ensemble"
"19","VTSanghani-ExogModel"
