reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.01,0
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.025,0
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.05,54.17165000698552
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.1,130.51815107215097
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.15,152.23530326141616
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.2,163.91142128374622
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.25,175.30140934318464
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.3,185.9506390525846
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.35,198.02067019910447
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.4,211.0544293898605
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.45,222.28409151621938
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.5,232.19935182513348
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.55,240.92607296767326
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.6,249.08076611784367
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.65,256.5363367058509
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.7,263.811606373289
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.75,271.47293190880725
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.8,280.50350866063513
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.85,291.4669612700266
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.9,308.500466879047
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.95,355.8260611655319
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.975,423.2703327320941
2023-12-30,01,-1,wk inc flu hosp,2023-12-23,quantile,0.99,514.016899124736
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.01,0
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.025,82.01617956962141
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.05,155.38299560546875
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.1,187.6465391557482
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.15,210.3056812738596
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.2,228.86916191065092
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.25,242.60494484965855
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.3,256.26742021590724
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.35,268.7650147533461
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.4,281.1910845116947
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.45,292.49415330393754
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.5,305.60675249746333
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.55,315.5329260572949
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.6,326.3419682608615
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.65,339.2381394232349
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.7,353.03018923812425
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.75,367.05596390860825
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.8,383.6463011345567
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.85,402.40851455156303
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.9,430.00353281634284
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.95,475.1320062261518
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.975,535.3226297391082
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.99,590.1121627176111
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.01,0
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.025,66.38416212540842
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.05,128.09536447144671
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.1,171.16546692277444
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.15,194.22079955089362
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.2,212.728447627443
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.25,233.71384517872474
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.3,257.0595945297124
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.35,279.59493804355526
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.4,297.5701502468191
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.45,316.3419917052359
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.5,334.106542780229
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.55,355.02183424755964
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.6,376.15402591989016
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.65,400.012205605406
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.7,425.0809221931311
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.75,452.8113071527258
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.8,478.8298946003088
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.85,513.6831111688895
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.9,553.8892429433146
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.95,642.9348090445624
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.975,731.4266840958871
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.99,870.7293762973638
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.01,0
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.025,46.815183927875424
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.05,80.83156897677402
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.1,139.90522536645656
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.15,174.73873890977774
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.2,202.3081835576791
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.25,227.9355806734072
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.3,250.20912704033358
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.35,273.56461590051777
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.4,294.5709049294212
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.45,320.0322540041012
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.5,349.19803208699585
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.55,374.30600692277125
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.6,401.713055567555
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.65,429.5654027795157
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.7,454.44739676231075
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.75,490.0323906571176
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.8,534.9911623138418
